feature,file,line,event,screen,button,trigger,payload
boxBreathing,app/features/boxBreathing/hooks/useSessionInterruption.ts,77,session_completed,box_breathing_exercise,,,screen=box_breathing_exercise; session_number=~sessionNumber; completion_status=partial; duration_completed_min=~Math.round((elapsed / 60) * 10) / 10; time_into_session_sec=~Math.round(elapsed)
boxBreathing,app/features/boxBreathing/screens/BoxBreathingOnboardingScreen.tsx,40,screen_viewed,box_breathing_onboarding,,,screen=box_breathing_onboarding
boxBreathing,app/features/boxBreathing/screens/BoxBreathingOnboardingScreen.tsx,52,button_clicked,box_breathing_onboarding,breathing_onboarding_next,,button=breathing_onboarding_next; screen=box_breathing_onboarding
boxBreathing,app/features/boxBreathing/screens/BoxBreathingOnboardingScreen.tsx,60,button_clicked,box_breathing_onboarding,breathing_onboarding_skip,,button=breathing_onboarding_skip; screen=box_breathing_onboarding
boxBreathing,app/features/boxBreathing/screens/BoxBreathingOnboardingScreen.tsx,78,button_clicked,box_breathing_onboarding,experience_selected,,button=experience_selected; screen=box_breathing_onboarding; value=~experience
boxBreathing,app/features/boxBreathing/screens/BoxBreathingOnboardingScreen.tsx,83,button_clicked,box_breathing_onboarding,onboarding_continue,,button=onboarding_continue; screen=box_breathing_onboarding; chosen_path=~experience
boxBreathing,app/features/boxBreathing/screens/BoxBreathingScreen.tsx,192,screen_viewed,box_breathing_exercise,,,screen=box_breathing_exercise
boxBreathing,app/features/boxBreathing/screens/BoxBreathingScreen.tsx,204,button_clicked,session_start,session_start,,screen=session_start; button=session_start; session_number=~effectiveSessionNumber
boxBreathing,app/features/boxBreathing/screens/BoxBreathingScreen.tsx,213,button_clicked,session_start,box_breathing_settings,,screen=session_start; button=box_breathing_settings; session_number=~effectiveSessionNumber
boxBreathing,app/features/boxBreathing/screens/BoxBreathingScreen.tsx,307,screen_viewed,session_start,,,screen=session_start; session_number=~effectiveSessionNumber; pattern=~todaysPatternLabel; duration_min=~effectiveMinutes; phase=~getPhaseForSession(effectiveSessionNumber); is_custom=~isCustom
boxBreathing,app/features/boxBreathing/screens/BoxBreathingScreen.tsx,442,button_clicked,box_breathing_exercise,sound_toggle,,screen=box_breathing_exercise; button=sound_toggle; sound_enabled=~isMuted; session_phase=~getSessionPhase()
boxBreathing,app/features/boxBreathing/screens/BoxBreathingSummaryScreen.tsx,68,session_completed,,,,session_number=~trackedSessionNumber; pattern=~pattern; duration_min=~durationMinutes; completion_status=complete; duration_completed_min=~Math.round((stats.duration / 60) * 10) / 10; phase=~getPhaseForSession(trackedSessionNumber)
boxBreathing,app/features/boxBreathing/screens/BoxBreathingSummaryScreen.tsx,79,level_unlocked,,,,from_session=~trackedSessionNumber; to_session=~trackedSessionNumber + 1; new_pattern=~formatBreathingPattern(nextLevel.pattern); new_duration_min=~nextLevel.durationMinutes; new_phase=~getPhaseForSession(trackedSessionNumber + 1)
boxBreathing,app/features/boxBreathing/screens/BoxBreathingSummaryScreen.tsx,104,button_clicked,box_breathing_summary,box_breathing_settings,,button=box_breathing_settings; screen=box_breathing_summary
boxBreathing,app/features/boxBreathing/screens/BoxBreathingSummaryScreen.tsx,121,button_clicked,box_breathing_summary,box_breathing_checkin_submit,,screen=box_breathing_summary; button=box_breathing_checkin_submit; rating=~rating; note=~note
boxBreathing,app/features/boxBreathing/screens/LungTestScreen.tsx,64,screen_viewed,lung_test_intro,,,screen=lung_test_intro; context=~lungTestContext
boxBreathing,app/features/boxBreathing/screens/LungTestScreen.tsx,75,button_clicked,lung_test_intro,lung_test_skip,,button=lung_test_skip; screen=lung_test_intro
boxBreathing,app/features/boxBreathing/screens/LungTestScreen.tsx,83,button_clicked,lung_test_intro,lung_test_intro_start,,button=lung_test_intro_start; screen=lung_test_intro
boxBreathing,app/features/boxBreathing/screens/LungTestScreen.tsx,88,screen_viewed,lung_test_instructions,,,screen=lung_test_instructions
boxBreathing,app/features/boxBreathing/screens/LungTestScreen.tsx,92,button_clicked,lung_test_instructions,lung_test_instructions_start,,button=lung_test_instructions_start; screen=lung_test_instructions
boxBreathing,app/features/boxBreathing/screens/LungTestScreen.tsx,97,screen_viewed,lung_test_active,,,screen=lung_test_active
boxBreathing,app/features/boxBreathing/screens/LungTestScreen.tsx,103,button_clicked,lung_test_active,lung_test_stop,,button=lung_test_stop; screen=lung_test_active; seconds_held=~seconds
boxBreathing,app/features/boxBreathing/screens/LungTestScreen.tsx,114,lung_test_too_short,lung_test_active,,,screen=lung_test_active
boxBreathing,app/features/boxBreathing/screens/LungTestScreen.tsx,119,button_clicked,lung_test_too_short,lung_test_retry,,button=lung_test_retry; screen=lung_test_too_short
boxBreathing,app/features/boxBreathing/screens/LungTestScreen.tsx,133,screen_viewed,lung_test_comparison,,,screen=lung_test_comparison; current_sec=~heldSeconds; baseline_sec=~baselineSeconds; delta_sec=~heldSeconds - baselineSeconds
boxBreathing,app/features/boxBreathing/screens/LungTestScreen.tsx,140,screen_viewed,lung_test_result,,,screen=lung_test_result; seconds_held=~heldSeconds; is_baseline=~baselineSeconds === null; attempt_number=~attemptNumber
boxBreathing,app/features/boxBreathing/screens/LungTestScreen.tsx,157,button_clicked,lung_test_comparison | lung_test_result,lung_test_comparison_continue | lung_test_result_continue,,button=lung_test_comparison_continue | lung_test_result_continue; screen=lung_test_comparison | lung_test_result
boxBreathing,app/features/boxBreathing/store/boxBreathingSaga.ts,64,box_breathing_preference_fallback_used,,,,event_name=box_breathing_preference_fallback_used
boxBreathing,app/features/boxBreathing/store/boxBreathingSaga.ts,82,error_occurred,box_breathing_settings,,,screen=box_breathing_settings; error_type=box_breathing_fetch_failed; error=~message
boxBreathing,app/features/boxBreathing/store/boxBreathingSaga.ts,133,box_breathing_settings_save_failed,box_breathing_settings,,,event_name=box_breathing_settings_save_failed; error=~message; screen=box_breathing_settings
communityCalendar,app/features/communityCalendar/components/CalendarImage.tsx,22,button_clicked,,download_community_calendar,,source=community_calendar; button=download_community_calendar
communityCalendar,app/features/communityCalendar/screens/CommunityCalendarScreen.tsx,40,screen_viewed,community_calendar,,,screen=community_calendar; source=home
components,app/components/common/AppUpdateNotice/AppUpdateNoticeScreen.tsx,63,screen_viewed,app_update_notice,,,screen=app_update_notice; source=splash
components,app/components/common/AppUpdateNotice/AppUpdateNoticeScreen.tsx,72,button_clicked,app_update_notice,update_now,,screen=app_update_notice; button=update_now; latest_version=~latestVersion
components,app/components/common/AppUpdateNotice/AppUpdateNoticeScreen.tsx,80,button_clicked,app_update_notice,remind_later,,screen=app_update_notice; button=remind_later; latest_version=~latestVersion
components,app/components/common/NoInternet/NoInternetScreen.tsx,21,screen_viewed,no_internet,,,screen=no_internet; source=splash
components,app/components/molecules/AppHeader/AppHeader.tsx,119,button_clicked,,home_view_progress,,button=home_view_progress
components,app/components/molecules/AppHeader/AppHeaderWhatsAppButton.tsx,26,button_clicked,home,home_header_whatsapp_icon,,button=home_header_whatsapp_icon; screen=home; whatsappNumber=~watiNumber; wati_type=~watiType
components,app/components/molecules/NotificationPermissionModal/useNotificationPermissionModal.ts,89,screen_viewed,notification_permission_modal,,,screen=notification_permission_modal; source=home
components,app/components/molecules/NotificationPermissionModal/useNotificationPermissionModal.ts,115,button_clicked,notification_permission_modal,notification_permission_allow,,screen=notification_permission_modal; button=notification_permission_allow
components,app/components/molecules/NotificationPermissionModal/useNotificationPermissionModal.ts,124,button_clicked,notification_permission_modal,notification_permission_close,,screen=notification_permission_modal; button=notification_permission_close
core,app/core/configs/deepLinking.ts,178,button_clicked,deeplink,deeplink_membership_plan,,button=deeplink_membership_plan; screen=deeplink
core,app/core/configs/deepLinking.ts,218,button_clicked,deeplink,deeplink_pay,,button=deeplink_pay; screen=deeplink; plan=~resolvedPlan
core,app/core/configs/deepLinking.ts,258,button_clicked,deeplink,deeplink_leaderboard,,button=deeplink_leaderboard; screen=deeplink
core,app/core/configs/deepLinking.ts,277,button_clicked,deeplink,deeplink_articles,,button=deeplink_articles; screen=deeplink
core,app/core/configs/deepLinking.ts,299,button_clicked,deeplink,deeplink_resources,,button=deeplink_resources; screen=deeplink
core,app/core/configs/deepLinking.ts,327,button_clicked,deeplink,deeplink_physio_booking,,button=deeplink_physio_booking; screen=deeplink
core,app/core/configs/deepLinking.ts,346,button_clicked,deeplink,deeplink_giftrewards,,button=deeplink_giftrewards; screen=deeplink
core,app/core/configs/deepLinking.ts,372,button_clicked,deeplink,deeplink_external_link,,button=deeplink_external_link; screen=deeplink
core,app/core/configs/deepLinking.ts,413,button_clicked,deeplink,deeplink_whatsapp_support,,button=deeplink_whatsapp_support; screen=deeplink
freeUserAttendance,app/features/freeUserAttendance/screens/FreeUserAttendanceScreen.tsx,123,screen_viewed,attendance,,,screen=attendance; source=home
freeUserAttendance,app/features/freeUserAttendance/screens/FreeUserAttendanceScreen.tsx,178,button_clicked,attendance,free_user_badge,,screen=attendance; button=free_user_badge
games,app/features/games/components/PuzzleWinBottomSheet.tsx,91,button_clicked,number_puzzle,kramika_share_score,,screen=number_puzzle; button=kramika_share_score
games,app/features/games/hooks/useSnakeGame.ts,43,screen_viewed,snake_game,,,screen=snake_game; source=home
games,app/features/games/hooks/useSnakeGame.ts,58,button_clicked,snake_game,restart_snake_game,,screen=snake_game; button=restart_snake_game
games,app/features/games/hooks/useSnakeGame.ts,68,snake_game_over,snake_game,,,screen=snake_game; event_name=snake_game_over; value=~score.value
games,app/features/games/hooks/useSnakeGame.ts,80,button_clicked,snake_game,share_snake_score,,screen=snake_game; button=share_snake_score
games,app/features/games/screens/GamesScreen.tsx,62,screen_viewed,games,,,screen=games; source=home
games,app/features/games/screens/GamesScreen.tsx,73,button_clicked,games,~id as AnalyticsButtonNames,,screen=games; button=~id as AnalyticsButtonNames
games,app/features/games/screens/NumberPuzzleScreen.tsx,73,screen_viewed,number_puzzle,,,screen=number_puzzle; source=home
games,app/features/games/screens/NumberPuzzleScreen.tsx,85,button_clicked,number_puzzle,kramika_share_score,,screen=number_puzzle; button=kramika_share_score
games,app/features/games/screens/NumberPuzzleScreen.tsx,114,button_clicked,number_puzzle,kramika_bottomsheet_close,,screen=number_puzzle; button=kramika_bottomsheet_close
games,app/features/games/screens/NumberPuzzleScreen.tsx,122,button_clicked,number_puzzle,kramika_play_again,,screen=number_puzzle; button=kramika_play_again
games,app/features/games/screens/SudokuScreen.tsx,24,screen_viewed,sudoku,,,screen=sudoku; source=games
games,app/features/games/screens/WebviewGameScreen.tsx,25,screen_viewed,webview_game,,,screen=webview_game; source=home
games,app/features/games/sudoku/components/SudokuGame.tsx,95,button_clicked,sudoku,sudoku_settings,,screen=sudoku; button=sudoku_settings
games,app/features/games/sudoku/components/SudokuGame.tsx,145,sudoku_completed_already_today,sudoku,,,screen=sudoku; event_name=sudoku_completed_already_today
games,app/features/games/sudoku/components/SudokuWinBottomSheet.tsx,29,sudoku_share_bottomsheet_shown,sudoku,,,screen=sudoku; event_name=sudoku_share_bottomsheet_shown; component=sudoku_share_bottomsheet; component_shown=true
games,app/features/games/sudoku/hooks/useSudokuGame.ts,257,sudoku_api_success,sudoku,,,screen=sudoku; event_name=sudoku_api_success
games,app/features/games/sudoku/hooks/useSudokuGame.ts,265,sudoku_api_error,sudoku,,,screen=sudoku; event_name=sudoku_api_error
games,app/features/games/sudoku/hooks/useSudokuGame.ts,281,button_clicked,sudoku,sudoku_shuffle_confirm_ok,,screen=sudoku; button=sudoku_shuffle_confirm_ok
games,app/features/games/sudoku/hooks/useSudokuGame.ts,290,button_clicked,sudoku,sudoku_share_bottomsheet_close,,screen=sudoku; button=sudoku_share_bottomsheet_close
games,app/features/games/sudoku/hooks/useSudokuGame.ts,300,button_clicked,sudoku,sudoku_shuffle,,screen=sudoku; button=sudoku_shuffle
games,app/features/games/sudoku/hooks/useSudokuGame.ts,323,button_clicked,sudoku,sudoku_settings_bottomsheet_difficulty,,screen=sudoku; button=sudoku_settings_bottomsheet_difficulty; sudokuDifficultyChosen=~newDifficulty
home,app/features/home/components/DailyHabits.tsx,52,button_clicked,home,home_screen_water_reminder_tile,,screen=home; button=home_screen_water_reminder_tile
home,app/features/home/components/DailyHabits.tsx,60,button_clicked,home,home_screen_mind_games_tile,,screen=home; button=home_screen_mind_games_tile
home,app/features/home/components/DailyHabits.tsx,68,button_clicked,home,home_screen_walk_tile,,screen=home; button=home_screen_walk_tile
home,app/features/home/components/DailyHabits.tsx,76,button_clicked,home,home_screen_pain_relief_tile,,screen=home; button=home_screen_pain_relief_tile
home,app/features/home/components/DailyHabitsV3.tsx,38,button_clicked,home,home_daily_habit,,screen=home; button=home_daily_habit; link=~card.link
home,app/features/home/components/HomeBanner.tsx,31,button_clicked,home,home_banner,,button=home_banner; component=home_banner; screen=home; redirect_url=~redirect
home,app/features/home/components/HomeBannerV3Section.tsx,66,button_clicked,home,home_feed_banner,,button=home_feed_banner; screen=home; title=~card.title; button_title=~card.buttontext; is_live=~card.islive; link_type=~card.linktype; link=~card.link; active_challenge_id=~activeChallengeId; card_type=~card.type ?? null
home,app/features/home/components/homeChat/BoxBreathingCard.tsx,41,button_clicked,chat_home,chat_home_box_breathing_start,,screen=chat_home; button=chat_home_box_breathing_start; box_breathing_variant=~item.variant
home,app/features/home/components/homeChat/CommunitySessionCard.tsx,59,button_clicked,chat_home,chat_home_join_now,,screen=chat_home; button=chat_home_join_now; session_type=community
home,app/features/home/components/homeChat/CommunitySessionCard.tsx,70,button_clicked,chat_home,chat_home_remind_me,,screen=chat_home; button=chat_home_remind_me; session_type=community
home,app/features/home/components/homeChat/HomeChatHeader.tsx,41,chat_home_menu_opened,chat_home,,,event_name=chat_home_menu_opened; screen=chat_home
home,app/features/home/components/homeChat/HomeChatHeader.tsx,50,button_clicked,home,profile,,screen=home; button=profile
home,app/features/home/components/homeChat/HomeChatInput.tsx,30,button_clicked,chat_home,chat_home_send_message,,screen=chat_home; button=chat_home_send_message
home,app/features/home/components/homeChat/HomeChatInput.tsx,46,button_clicked,chat_home,chat_home_emoji_picker_open,,screen=chat_home; button=chat_home_emoji_picker_open
home,app/features/home/components/homeChat/HomeChatInput.tsx,57,button_clicked,chat_home,chat_home_emoji_selected,,screen=chat_home; button=chat_home_emoji_selected
home,app/features/home/components/homeChat/MindMathCard.tsx,34,button_clicked,chat_home,chat_home_mind_math_play,,screen=chat_home; button=chat_home_mind_math_play
home,app/features/home/components/homeChat/PostSessionFeedbackCard.tsx,73,button_clicked,chat_home,~choice.analytics,,screen=chat_home; button=~choice.analytics; session_type=~item.program
home,app/features/home/components/homeChat/SessionCard.tsx,62,button_clicked,chat_home,chat_home_join_now,,screen=chat_home; button=chat_home_join_now; session_type=~item.program; session_time=~item.userStartTime
home,app/features/home/components/homeChat/SundaySpecialsCard.tsx,65,button_clicked,chat_home,chat_home_sunday_special,,screen=chat_home; button=chat_home_sunday_special; session_type=~item.id
home,app/features/home/components/homeChat/WhatsAppHomeContent.tsx,52,chat_home_screen_opened,chat_home,,,event_name=chat_home_screen_opened; screen=chat_home
home,app/features/home/components/HomeFeedBanner.tsx,74,button_clicked,home,home_feed_banner,,button=home_feed_banner; screen=home; title=~card.title; button_title=~card.buttontext; is_live=~card.islive; link_type=~card.linktype; link=~card.link; active_challenge_id=~activeChallengeId; card_type=~card.type ?? null
home,app/features/home/components/HomeFeedSessions.tsx,76,button_clicked,home,join_now,,screen=home; button=join_now; program_name=~card?.title; program_time=~card?.description; program_title=~card?.subTitle; program_live=~card?.islive; program_join_url=~card?.link
home,app/features/home/components/HomeFeedSessions.tsx,94,button_clicked,home,join_now,,screen=home; button=join_now; event=session_not_live_yet
home,app/features/home/components/HomeFeedSessions.tsx,145,button_clicked,home,home_feed_sessions_see_less | home_feed_sessions_see_more,,screen=home; button=home_feed_sessions_see_less | home_feed_sessions_see_more
home,app/features/home/components/HomePosters.tsx,37,button_clicked,,home_carousel,,button=home_carousel; title=~item.title; redirectionType=~item.redirectionType; redirectionUrl=~item.redirectionUrl
home,app/features/home/components/HomeUpcomingSessions.tsx,60,button_clicked,home,home_feed_sessions_see_less | home_feed_sessions_see_all,,screen=home; button=home_feed_sessions_see_less | home_feed_sessions_see_all
home,app/features/home/components/HomeUpcomingSessions.tsx,72,button_clicked,home,home_upcoming_session,,screen=home; button=home_upcoming_session; link=~card.link
home,app/features/home/components/InactiveUserScreen.tsx,22,button_clicked,home,home_inactive_contact_support,,screen=home; button=home_inactive_contact_support; wati_type=~watiType
home,app/features/home/components/KnowMoreCard.tsx,27,button_clicked,home,know_more_trishala,,screen=home; button=know_more_trishala
home,app/features/home/components/MembershipDetailsBottomSheet.tsx,57,screen_viewed,membership_details_bottomsheet,,,screen=membership_details_bottomsheet; source=home
home,app/features/home/components/MembershipDetailsBottomSheet.tsx,96,button_clicked,membership_details_bottomsheet,view_more_details,,screen=membership_details_bottomsheet; button=view_more_details
home,app/features/home/components/QuickActions.tsx,82,button_clicked,home,~action?.title,,source=quick_actions; screen=home; button=~action?.title; ...(action?.title === i18n.t(LOCALIZATION_KEYS.SUPPORT_TITLE) && !isOrgPartnerUser ? { wati_type: watiType } : {})
home,app/features/home/components/QuickActionsV3.tsx,50,button_clicked,home,home_quick_action,,source=quick_actions; screen=home; button=home_quick_action; link=~card.link; ...(isWhatsappSupport ? { wati_type: watiType } : {})
home,app/features/home/components/SubscriptionPausedSection.tsx,70,subscription_unpaused_successfully,home,,,screen=home
home,app/features/home/components/SubscriptionPendingCard.tsx,71,button_clicked,home,subscription_pending_know_more,,screen=home; button=subscription_pending_know_more
home,app/features/home/components/TVLoginModal.tsx,37,button_clicked,tv_login_modal,back,,screen=tv_login_modal; button=back
home,app/features/home/components/TVLoginModal.tsx,45,button_clicked,tv_login_modal,done,,screen=tv_login_modal; button=done
home,app/features/home/components/TVLoginModal.tsx,53,button_clicked,tv_login_modal,scan_again,,screen=tv_login_modal; button=scan_again
home,app/features/home/components/UnPauseMembershipBottomsheet.tsx,28,screen_viewed,subscription_unpause,,,screen=subscription_unpause; source=home
home,app/features/home/components/WeeklyProgress.tsx,58,button_clicked,~screen ?? 'home',home_view_progress,,screen=~screen ?? 'home'; button=home_view_progress
home,app/features/home/hooks/useChatHomeAnalytics.ts,16,chat_home_card_rendered,chat_home,,,event_name=chat_home_card_rendered; screen=chat_home; card_type=~cardType; ...extra
home,app/features/home/hooks/useFreeChallengeEndingCard.ts,91,button_clicked,home,free_challenge_ending_whatsapp,,button=free_challenge_ending_whatsapp; screen=home; whatsappNumber=~watiNumber; wati_type=~watiType; has_live_banner=~hasLiveBanner; days_attended=~daysAttended
home,app/features/home/hooks/useHomeData.ts,261,screen_viewed,home,,,screen=home; home_experience=~homeExperience; home_revamp_v3=~isPaidUser && homeExperience === 'legacy'; ...(source ? { source } : {})
home,app/features/home/hooks/useSetReminder.ts,64,button_clicked,home,set_reminder_clicked,,button=set_reminder_clicked; screen=home; card_type=~card.type ?? null; title=~card.title; timing=~card.timing ?? null
home,app/features/home/hooks/useShareYogaDays.ts,34,button_clicked,,,,
home,app/features/home/hooks/useTVLogin.ts,69,tv_login_initiated,home,,,screen=home; event_name=tv_login_initiated
home,app/features/home/hooks/useTVLogin.ts,87,tv_login_success,home,,,screen=home; event_name=tv_login_success
home,app/features/home/hooks/useTVLogin.ts,101,tv_login_failure,home,,,screen=home; event_name=tv_login_failure; error=~tvLoginState.error
home,app/features/home/screens/HomeScreen.tsx,272,button_clicked,home,profile,,screen=home; button=profile
home,app/features/home/screens/HomeScreen.tsx,277,home_menu_opened,home,,,event_name=home_menu_opened; screen=home
home,app/features/home/utils/inAppUpdate.ts,90,in_app_update_skipped,,,,event_name=in_app_update_skipped; reason=no_update_type_allowed; latest_version=~latestVersion; store_version=~updateCheckResult.storeVersion; is_immediate_allowed=~isImmediateUpdateAllowed; is_flexible_allowed=~isFlexibleUpdateAllowed
home,app/features/home/utils/inAppUpdate.ts,105,in_app_update_shown,,,,event_name=in_app_update_shown; latest_version=~latestVersion; store_version=~updateCheckResult.storeVersion; update_type=~actualUpdateType; force_update=~forceUpdate
home,app/features/home/utils/inAppUpdate.ts,121,in_app_update_started,,,,event_name=in_app_update_started; latest_version=~latestVersion; store_version=~updateCheckResult.storeVersion; update_type=~actualUpdateType; force_update=~forceUpdate
home,app/features/home/utils/inAppUpdate.ts,135,in_app_update_downloaded,,,,event_name=in_app_update_downloaded; latest_version=~latestVersion; bytes_downloaded=~status.bytesDownloaded
home,app/features/home/utils/inAppUpdate.ts,144,in_app_update_installed,,,,event_name=in_app_update_installed; latest_version=~latestVersion
home,app/features/home/utils/inAppUpdate.ts,156,error_occurred,,,,error_type=in_app_update_error; latest_version=~latestVersion; force_update=~forceUpdate; error_message=~error instanceof Error ? error.message : 'Unknown error'
home,app/features/home/utils/sessionRedirectionUtils.ts,116,youtube_redirection,session_redirection,,,screen=session_redirection; source=notification; success=~result.success; method=~result.method; link=~url; slug=~slug; userType=~userType; session_type=~sessionType
home,app/features/home/utils/urlOpeningUtils.ts,29,youtube_redirection,,,,step=started; url=~url
home,app/features/home/utils/urlOpeningUtils.ts,34,youtube_redirection,,,,step=opened; url=~url; success=~result.success; method=~result.method; skipped_resolve=true
home,app/features/home/utils/urlOpeningUtils.ts,50,youtube_redirection,,,,step=resolved; url=~url; resolved_url=~resolvedUrl; redirected=~redirected; status=~status
home,app/features/home/utils/urlOpeningUtils.ts,58,youtube_redirection,,,,step=opened; url=~url; resolved_url=~resolvedUrl; success=~result.success; method=~result.method
home,app/features/home/utils/urlOpeningUtils.ts,71,error_occurred,,,,error_type=redirect_resolution_failed; error=~error instanceof Error ? error.name : 'UnknownError'; error_code=~errorCode; error_message=~error instanceof Error ? error.message : String(error); url=~url
home,app/features/home/utils/urlOpeningUtils.ts,80,youtube_redirection,,,,step=opened; url=~url; success=~result.success; method=~result.method; fallback=true
hooks,app/hooks/useMoEngageSetup.ts,20,app_first_launch,splash,,,source=app_launch; screen=splash
hooks,app/hooks/useSessionTracking.ts,15,app_launch_time,,,,duration_ms=~splashScreenDuration
library,app/library/axios/ApiClient.ts,147,network_error,,,,
library,app/library/axios/ApiClient.ts,150,network_error,api_call,,,screen=api_call; error_message=~errorResponse.message; error_code=~error.code ?? 'UNKNOWN'; status_code=~errorResponse.statusCode; url=~error.config?.url ?? 'unknown'; method=~error.config?.method?.toUpperCase() ?? 'UNKNOWN'; netinfo_unavailable=true
library,app/library/axios/axiosInterceptor.ts,189,invalid_refresh_token,,,,status=~status
library,app/library/growthbook/growthbook.ts,34,experiment_viewed,,,,experiment_id=~experiment.key; variation_id=~result.key
library,app/library/notifications/analyticsSync.ts,99,notification,,,,
library,app/library/notifications/analyticsSync.ts,129,notification,,,,
login,app/features/login/components/CountryPickerModal.tsx,83,button_clicked,onboarding,country_code,,screen=onboarding; button=country_code; country_code_chosen=~item.dial
login,app/features/login/hooks/useLoginScreen.ts,134,permission,,,,phone_number=~phone; permission=android_phone_number_hint; allowed=granted
login,app/features/login/hooks/useLoginScreen.ts,148,permission,,,,phone_number=~phone ?? ''; permission=android_phone_number_hint; allowed=denied
login,app/features/login/hooks/useLoginScreen.ts,155,permission,,,,permission=android_phone_number_hint; allowed=denied
